index,postcode,Name,Address
50,3016-vic,Albert Park Medical Centre,"Albert Park Medical Centre, 51 Dundas Place, Albert Park VIC 3206, Australia"
54,3018-vic,Lifeline Medicals Centre,"Lifeline Medicals Centre, Sunshine Road, West Footscray VIC 3012, Australia"
55,3018-vic,Sunshine Central Medical Clinic,"Sunshine Central Medical Clinic, 217 Hampshire Road, Sunshine VIC 3020, Australia"
56,3018-vic,St Albans Family Doctors Clinic,"St Albans Family Doctors Clinic, 167 St Albans Road, St Albans VIC 3021, Australia"
57,3019-vic,Lifeline Medicals Centre,"Lifeline Medicals Centre, Sunshine Road, West Footscray VIC 3012, Australia"
58,3019-vic,Sunshine Central Medical Clinic,"Sunshine Central Medical Clinic, 217 Hampshire Road, Sunshine VIC 3020, Australia"
59,3019-vic,St Albans Family Doctors Clinic,"St Albans Family Doctors Clinic, 167 St Albans Road, St Albans VIC 3021, Australia"
60,3020-vic,Sunshine Central Medical Clinic,"Sunshine Central Medical Clinic, 217 Hampshire Road, Sunshine VIC 3020, Australia"
61,3020-vic,St Albans Family Doctors Clinic,"St Albans Family Doctors Clinic, 167 St Albans Road, St Albans VIC 3021, Australia"
62,3020-vic,Lifeline Medicals Centre,"Lifeline Medicals Centre, Sunshine Road, West Footscray VIC 3012, Australia"
63,3021-vic,St Albans Family Doctors Clinic,"St Albans Family Doctors Clinic, 167 St Albans Road, St Albans VIC 3021, Australia"
64,3021-vic,Sunshine Central Medical Clinic,"Sunshine Central Medical Clinic, 217 Hampshire Road, Sunshine VIC 3020, Australia"
65,3021-vic,Lifeline Medicals Centre,"Lifeline Medicals Centre, Sunshine Road, West Footscray VIC 3012, Australia"
66,3022-vic,St Albans Family Doctors Clinic,"St Albans Family Doctors Clinic, 167 St Albans Road, St Albans VIC 3021, Australia"
67,3022-vic,Sunshine Central Medical Clinic,"Sunshine Central Medical Clinic, 217 Hampshire Road, Sunshine VIC 3020, Australia"
68,3022-vic,Lifeline Medicals Centre,"Lifeline Medicals Centre, Sunshine Road, West Footscray VIC 3012, Australia"
69,3023-vic,St Albans Family Doctors Clinic,"St Albans Family Doctors Clinic, 167 St Albans Road, St Albans VIC 3021, Australia"
70,3023-vic,Sunshine Central Medical Clinic,"Sunshine Central Medical Clinic, 217 Hampshire Road, Sunshine VIC 3020, Australia"
71,3023-vic,Lifeline Medicals Centre,"Lifeline Medicals Centre, Sunshine Road, West Footscray VIC 3012, Australia"
72,3024-vic,St Albans Family Doctors Clinic,"St Albans Family Doctors Clinic, 167 St Albans Road, St Albans VIC 3021, Australia"
73,3024-vic,Sunshine Central Medical Clinic,"Sunshine Central Medical Clinic, 217 Hampshire Road, Sunshine VIC 3020, Australia"
74,3024-vic,Lifeline Medicals Centre,"Lifeline Medicals Centre, Sunshine Road, West Footscray VIC 3012, Australia"
75,3025-vic,Lifeline Medicals Centre,"Lifeline Medicals Centre, Sunshine Road, West Footscray VIC 3012, Australia"
76,3025-vic,Sunshine Central Medical Clinic,"Sunshine Central Medical Clinic, 217 Hampshire Road, Sunshine VIC 3020, Australia"
77,3025-vic,St Albans Family Doctors Clinic,"St Albans Family Doctors Clinic, 167 St Albans Road, St Albans VIC 3021, Australia"
78,3026-vic,Sunshine Central Medical Clinic,"Sunshine Central Medical Clinic, 217 Hampshire Road, Sunshine VIC 3020, Australia"
79,3026-vic,Lifeline Medicals Centre,"Lifeline Medicals Centre, Sunshine Road, West Footscray VIC 3012, Australia"
80,3026-vic,St Albans Family Doctors Clinic,"St Albans Family Doctors Clinic, 167 St Albans Road, St Albans VIC 3021, Australia"
81,3027-vic,Sunshine Central Medical Clinic,"Sunshine Central Medical Clinic, 217 Hampshire Road, Sunshine VIC 3020, Australia"
82,3027-vic,Lifeline Medicals Centre,"Lifeline Medicals Centre, Sunshine Road, West Footscray VIC 3012, Australia"
83,3027-vic,St Albans Family Doctors Clinic,"St Albans Family Doctors Clinic, 167 St Albans Road, St Albans VIC 3021, Australia"
84,3028-vic,Sunshine Central Medical Clinic,"Sunshine Central Medical Clinic, 217 Hampshire Road, Sunshine VIC 3020, Australia"
85,3028-vic,Lifeline Medicals Centre,"Lifeline Medicals Centre, Sunshine Road, West Footscray VIC 3012, Australia"
86,3028-vic,St Albans Family Doctors Clinic,"St Albans Family Doctors Clinic, 167 St Albans Road, St Albans VIC 3021, Australia"
87,3029-vic,Sunshine Central Medical Clinic,"Sunshine Central Medical Clinic, 217 Hampshire Road, Sunshine VIC 3020, Australia"
88,3029-vic,St Albans Family Doctors Clinic,"St Albans Family Doctors Clinic, 167 St Albans Road, St Albans VIC 3021, Australia"
89,3029-vic,Lifeline Medicals Centre,"Lifeline Medicals Centre, Sunshine Road, West Footscray VIC 3012, Australia"
90,3030-vic,Sunshine Central Medical Clinic,"Sunshine Central Medical Clinic, 217 Hampshire Road, Sunshine VIC 3020, Australia"
91,3030-vic,Lifeline Medicals Centre,"Lifeline Medicals Centre, Sunshine Road, West Footscray VIC 3012, Australia"
92,3030-vic,St Albans Family Doctors Clinic,"St Albans Family Doctors Clinic, 167 St Albans Road, St Albans VIC 3021, Australia"
93,3031-vic,Kensington Medical Clinic,"Kensington Medical Clinic, 483 Macaulay Road, Kensington VIC 3031, Australia"
94,3031-vic,Travancore Medical Centre,"Travancore Medical Centre, 252 Mount Alexander Road, Travancore VIC 3032, Australia"
95,3031-vic,Royal Park Medical,"Royal Park Medical, Flemington Road, North Melbourne VIC 3051, Australia"
96,3032-vic,SIA Medical Centre,"SIA Medical Centre, Hall Street, Moonee Ponds VIC 3039, Australia"
97,3032-vic,Travancore Medical Centre,"Travancore Medical Centre, 252 Mount Alexander Road, Travancore VIC 3032, Australia"
98,3032-vic,Kensington Medical Clinic,"Kensington Medical Clinic, 483 Macaulay Road, Kensington VIC 3031, Australia"
99,3033-vic,St Albans Family Doctors Clinic,"St Albans Family Doctors Clinic, 167 St Albans Road, St Albans VIC 3021, Australia"
100,3033-vic,Sunshine Central Medical Clinic,"Sunshine Central Medical Clinic, 217 Hampshire Road, Sunshine VIC 3020, Australia"
101,3033-vic,SIA Medical Centre,"SIA Medical Centre, Hall Street, Moonee Ponds VIC 3039, Australia"
102,3034-vic,Sunshine Central Medical Clinic,"Sunshine Central Medical Clinic, 217 Hampshire Road, Sunshine VIC 3020, Australia"
103,3034-vic,Lifeline Medicals Centre,"Lifeline Medicals Centre, Sunshine Road, West Footscray VIC 3012, Australia"
104,3034-vic,St Albans Family Doctors Clinic,"St Albans Family Doctors Clinic, 167 St Albans Road, St Albans VIC 3021, Australia"
108,3036-vic,St Albans Family Doctors Clinic,"St Albans Family Doctors Clinic, 167 St Albans Road, St Albans VIC 3021, Australia"
109,3036-vic,Sunshine Central Medical Clinic,"Sunshine Central Medical Clinic, 217 Hampshire Road, Sunshine VIC 3020, Australia"
110,3036-vic,Lifeline Medicals Centre,"Lifeline Medicals Centre, Sunshine Road, West Footscray VIC 3012, Australia"
111,3037-vic,St Albans Family Doctors Clinic,"St Albans Family Doctors Clinic, 167 St Albans Road, St Albans VIC 3021, Australia"
112,3037-vic,Sunshine Central Medical Clinic,"Sunshine Central Medical Clinic, 217 Hampshire Road, Sunshine VIC 3020, Australia"
113,3037-vic,Lifeline Medicals Centre,"Lifeline Medicals Centre, Sunshine Road, West Footscray VIC 3012, Australia"
114,3038-vic,St Albans Family Doctors Clinic,"St Albans Family Doctors Clinic, 167 St Albans Road, St Albans VIC 3021, Australia"
115,3038-vic,Sunshine Central Medical Clinic,"Sunshine Central Medical Clinic, 217 Hampshire Road, Sunshine VIC 3020, Australia"
116,3038-vic,Lifeline Medicals Centre,"Lifeline Medicals Centre, Sunshine Road, West Footscray VIC 3012, Australia"
117,3039-vic,SIA Medical Centre,"SIA Medical Centre, Hall Street, Moonee Ponds VIC 3039, Australia"
118,3039-vic,Travancore Medical Centre,"Travancore Medical Centre, 252 Mount Alexander Road, Travancore VIC 3032, Australia"
119,3039-vic,Healing & Learning Centre,"Healing & Learning Centre, 412 Moreland Road, Pascoe Vale South VIC 3055, Australia"
120,3040-vic,SIA Medical Centre,"SIA Medical Centre, Hall Street, Moonee Ponds VIC 3039, Australia"
121,3040-vic,Healing & Learning Centre,"Healing & Learning Centre, 412 Moreland Road, Pascoe Vale South VIC 3055, Australia"
122,3040-vic,Travancore Medical Centre,"Travancore Medical Centre, 252 Mount Alexander Road, Travancore VIC 3032, Australia"
123,3041-vic,Doctors of Coburg North,"Doctors of Coburg North, 120 Sussex Street, Pascoe Vale VIC 3058, Australia"
124,3041-vic,Healing & Learning Centre,"Healing & Learning Centre, 412 Moreland Road, Pascoe Vale South VIC 3055, Australia"
125,3041-vic,SIA Medical Centre,"SIA Medical Centre, Hall Street, Moonee Ponds VIC 3039, Australia"
126,3042-vic,St Albans Family Doctors Clinic,"St Albans Family Doctors Clinic, 167 St Albans Road, St Albans VIC 3021, Australia"
127,3042-vic,SIA Medical Centre,"SIA Medical Centre, Hall Street, Moonee Ponds VIC 3039, Australia"
128,3042-vic,Doctors of Coburg North,"Doctors of Coburg North, 120 Sussex Street, Pascoe Vale VIC 3058, Australia"
129,3043-vic,Doctors of Coburg North,"Doctors of Coburg North, 120 Sussex Street, Pascoe Vale VIC 3058, Australia"
130,3043-vic,Healing & Learning Centre,"Healing & Learning Centre, 412 Moreland Road, Pascoe Vale South VIC 3055, Australia"
131,3043-vic,SIA Medical Centre,"SIA Medical Centre, Hall Street, Moonee Ponds VIC 3039, Australia"
132,3044-vic,Gladstone Street Medical Center,"Gladstone Street Medical Center, 46 Gladstone Street, Warragul VIC 3820, Australia"
133,3044-vic,Rise Medical Centre,"Rise Medical Centre, Fairwood Rise, Officer VIC 3807, Australia"
134,3044-vic,The Smile Place Mt Eliza,"The Smile Place Mt Eliza, 1299 Nepean Highway, Mount Eliza VIC 3930, Australia"
135,3045-vic,St Albans Family Doctors Clinic,"St Albans Family Doctors Clinic, 167 St Albans Road, St Albans VIC 3021, Australia"
136,3045-vic,Doctors of Coburg North,"Doctors of Coburg North, 120 Sussex Street, Pascoe Vale VIC 3058, Australia"
137,3045-vic,Sunshine Central Medical Clinic,"Sunshine Central Medical Clinic, 217 Hampshire Road, Sunshine VIC 3020, Australia"
138,3046-vic,Doctors of Coburg North,"Doctors of Coburg North, 120 Sussex Street, Pascoe Vale VIC 3058, Australia"
139,3046-vic,Healing & Learning Centre,"Healing & Learning Centre, 412 Moreland Road, Pascoe Vale South VIC 3055, Australia"
140,3046-vic,SIA Medical Centre,"SIA Medical Centre, Hall Street, Moonee Ponds VIC 3039, Australia"
141,3047-vic,Doctors of Coburg North,"Doctors of Coburg North, 120 Sussex Street, Pascoe Vale VIC 3058, Australia"
142,3047-vic,Edgars Ultimate Medical Clinic.CO,"Edgars Ultimate Medical Clinic.CO, 168 Edgars Road, Thomastown VIC 3074, Australia"
143,3047-vic,Healing & Learning Centre,"Healing & Learning Centre, 412 Moreland Road, Pascoe Vale South VIC 3055, Australia"
144,3048-vic,Edgars Ultimate Medical Clinic.CO,"Edgars Ultimate Medical Clinic.CO, 168 Edgars Road, Thomastown VIC 3074, Australia"
145,3048-vic,Doctors of Coburg North,"Doctors of Coburg North, 120 Sussex Street, Pascoe Vale VIC 3058, Australia"
146,3048-vic,Healing & Learning Centre,"Healing & Learning Centre, 412 Moreland Road, Pascoe Vale South VIC 3055, Australia"
147,3049-vic,Doctors of Coburg North,"Doctors of Coburg North, 120 Sussex Street, Pascoe Vale VIC 3058, Australia"
148,3049-vic,Edgars Ultimate Medical Clinic.CO,"Edgars Ultimate Medical Clinic.CO, 168 Edgars Road, Thomastown VIC 3074, Australia"
149,3049-vic,Healing & Learning Centre,"Healing & Learning Centre, 412 Moreland Road, Pascoe Vale South VIC 3055, Australia"
150,3050-vic,Royal Park Medical,"Royal Park Medical, Flemington Road, North Melbourne VIC 3051, Australia"
151,3050-vic,No 68 Medical Centre,"No 68 Medical Centre, 68 Lonsdale Street, Melbourne VIC 3000, Australia"
152,3050-vic,Swanston Street Medical Centre,"Swanston Street Medical Centre, 267 Bourke Street, Melbourne VIC 3000, Australia"
153,3051-vic,Royal Park Medical,"Royal Park Medical, Flemington Road, North Melbourne VIC 3051, Australia"
154,3051-vic,Kensington Medical Clinic,"Kensington Medical Clinic, 483 Macaulay Road, Kensington VIC 3031, Australia"
155,3051-vic,Travancore Medical Centre,"Travancore Medical Centre, 252 Mount Alexander Road, Travancore VIC 3032, Australia"
156,3052-vic,Royal Park Medical,"Royal Park Medical, Flemington Road, North Melbourne VIC 3051, Australia"
157,3052-vic,Travancore Medical Centre,"Travancore Medical Centre, 252 Mount Alexander Road, Travancore VIC 3032, Australia"
158,3052-vic,Kensington Medical Clinic,"Kensington Medical Clinic, 483 Macaulay Road, Kensington VIC 3031, Australia"
159,3053-vic,No 68 Medical Centre,"No 68 Medical Centre, 68 Lonsdale Street, Melbourne VIC 3000, Australia"
160,3053-vic,Swanston Street Medical Centre,"Swanston Street Medical Centre, 267 Bourke Street, Melbourne VIC 3000, Australia"
161,3053-vic,Royal Park Medical,"Royal Park Medical, Flemington Road, North Melbourne VIC 3051, Australia"
162,3054-vic,Royal Park Medical,"Royal Park Medical, Flemington Road, North Melbourne VIC 3051, Australia"
163,3054-vic,Clifton Hill Clinic,"Clifton Hill Clinic, 22 Spensley Street, Clifton Hill VIC 3068, Australia"
164,3054-vic,No 68 Medical Centre,"No 68 Medical Centre, 68 Lonsdale Street, Melbourne VIC 3000, Australia"
165,3055-vic,Healing & Learning Centre,"Healing & Learning Centre, 412 Moreland Road, Pascoe Vale South VIC 3055, Australia"
166,3055-vic,SIA Medical Centre,"SIA Medical Centre, Hall Street, Moonee Ponds VIC 3039, Australia"
167,3055-vic,Travancore Medical Centre,"Travancore Medical Centre, 252 Mount Alexander Road, Travancore VIC 3032, Australia"
168,3056-vic,St Francis Medical Centre,"St Francis Medical Centre, Holmes Street, Brunswick East VIC 3057, Australia"
169,3056-vic,Healing & Learning Centre,"Healing & Learning Centre, 412 Moreland Road, Pascoe Vale South VIC 3055, Australia"
170,3056-vic,Travancore Medical Centre,"Travancore Medical Centre, 252 Mount Alexander Road, Travancore VIC 3032, Australia"
171,3057-vic,St Francis Medical Centre,"St Francis Medical Centre, Holmes Street, Brunswick East VIC 3057, Australia"
172,3057-vic,Clifton Hill Clinic,"Clifton Hill Clinic, 22 Spensley Street, Clifton Hill VIC 3068, Australia"
173,3057-vic,Healing & Learning Centre,"Healing & Learning Centre, 412 Moreland Road, Pascoe Vale South VIC 3055, Australia"
174,3058-vic,Doctors of Coburg North,"Doctors of Coburg North, 120 Sussex Street, Pascoe Vale VIC 3058, Australia"
175,3058-vic,Healing & Learning Centre,"Healing & Learning Centre, 412 Moreland Road, Pascoe Vale South VIC 3055, Australia"
176,3058-vic,St Francis Medical Centre,"St Francis Medical Centre, Holmes Street, Brunswick East VIC 3057, Australia"
177,3059-vic,Doctors of Coburg North,"Doctors of Coburg North, 120 Sussex Street, Pascoe Vale VIC 3058, Australia"
178,3059-vic,Edgars Ultimate Medical Clinic.CO,"Edgars Ultimate Medical Clinic.CO, 168 Edgars Road, Thomastown VIC 3074, Australia"
179,3059-vic,Healing & Learning Centre,"Healing & Learning Centre, 412 Moreland Road, Pascoe Vale South VIC 3055, Australia"
180,3060-vic,Doctors of Coburg North,"Doctors of Coburg North, 120 Sussex Street, Pascoe Vale VIC 3058, Australia"
181,3060-vic,Edgars Ultimate Medical Clinic.CO,"Edgars Ultimate Medical Clinic.CO, 168 Edgars Road, Thomastown VIC 3074, Australia"
182,3060-vic,Healing & Learning Centre,"Healing & Learning Centre, 412 Moreland Road, Pascoe Vale South VIC 3055, Australia"
183,3061-vic,Edgars Ultimate Medical Clinic.CO,"Edgars Ultimate Medical Clinic.CO, 168 Edgars Road, Thomastown VIC 3074, Australia"
184,3061-vic,Doctors of Coburg North,"Doctors of Coburg North, 120 Sussex Street, Pascoe Vale VIC 3058, Australia"
185,3061-vic,Polaris Medical Centre,"Polaris Medical Centre, Copernicus Crescent, Bundoora VIC 3086, Australia"
186,3062-vic,Edgars Ultimate Medical Clinic.CO,"Edgars Ultimate Medical Clinic.CO, 168 Edgars Road, Thomastown VIC 3074, Australia"
187,3062-vic,Doctors of Coburg North,"Doctors of Coburg North, 120 Sussex Street, Pascoe Vale VIC 3058, Australia"
188,3062-vic,Polaris Medical Centre,"Polaris Medical Centre, Copernicus Crescent, Bundoora VIC 3086, Australia"
189,3063-vic,Edgars Ultimate Medical Clinic.CO,"Edgars Ultimate Medical Clinic.CO, 168 Edgars Road, Thomastown VIC 3074, Australia"
190,3063-vic,Doctors of Coburg North,"Doctors of Coburg North, 120 Sussex Street, Pascoe Vale VIC 3058, Australia"
191,3063-vic,St Albans Family Doctors Clinic,"St Albans Family Doctors Clinic, 167 St Albans Road, St Albans VIC 3021, Australia"
192,3064-vic,Edgars Ultimate Medical Clinic.CO,"Edgars Ultimate Medical Clinic.CO, 168 Edgars Road, Thomastown VIC 3074, Australia"
193,3064-vic,Doctors of Coburg North,"Doctors of Coburg North, 120 Sussex Street, Pascoe Vale VIC 3058, Australia"
194,3064-vic,Polaris Medical Centre,"Polaris Medical Centre, Copernicus Crescent, Bundoora VIC 3086, Australia"
195,3065-vic,No 68 Medical Centre,"No 68 Medical Centre, 68 Lonsdale Street, Melbourne VIC 3000, Australia"
196,3065-vic,Swanston Street Medical Centre,"Swanston Street Medical Centre, 267 Bourke Street, Melbourne VIC 3000, Australia"
197,3065-vic,Clifton Hill Clinic,"Clifton Hill Clinic, 22 Spensley Street, Clifton Hill VIC 3068, Australia"
198,3066-vic,Clifton Hill Clinic,"Clifton Hill Clinic, 22 Spensley Street, Clifton Hill VIC 3068, Australia"
199,3066-vic,No 68 Medical Centre,"No 68 Medical Centre, 68 Lonsdale Street, Melbourne VIC 3000, Australia"
200,3066-vic,Swanston Street Medical Centre,"Swanston Street Medical Centre, 267 Bourke Street, Melbourne VIC 3000, Australia"
201,3067-vic,Clifton Hill Clinic,"Clifton Hill Clinic, 22 Spensley Street, Clifton Hill VIC 3068, Australia"
202,3067-vic,No 68 Medical Centre,"No 68 Medical Centre, 68 Lonsdale Street, Melbourne VIC 3000, Australia"
203,3067-vic,Swanston Street Medical Centre,"Swanston Street Medical Centre, 267 Bourke Street, Melbourne VIC 3000, Australia"
204,3068-vic,Clifton Hill Clinic,"Clifton Hill Clinic, 22 Spensley Street, Clifton Hill VIC 3068, Australia"
205,3068-vic,Wingrove Medical Clinic,"Wingrove Medical Clinic, 270 Wingrove Street, Fairfield VIC 3078, Australia"
206,3068-vic,No 68 Medical Centre,"No 68 Medical Centre, 68 Lonsdale Street, Melbourne VIC 3000, Australia"
210,3070-vic,Wingrove Medical Clinic,"Wingrove Medical Clinic, 270 Wingrove Street, Fairfield VIC 3078, Australia"
211,3070-vic,Clifton Hill Clinic,"Clifton Hill Clinic, 22 Spensley Street, Clifton Hill VIC 3068, Australia"
212,3070-vic,St Francis Medical Centre,"St Francis Medical Centre, Holmes Street, Brunswick East VIC 3057, Australia"
213,3071-vic,Wingrove Medical Clinic,"Wingrove Medical Clinic, 270 Wingrove Street, Fairfield VIC 3078, Australia"
214,3071-vic,St Francis Medical Centre,"St Francis Medical Centre, Holmes Street, Brunswick East VIC 3057, Australia"
215,3071-vic,Clifton Hill Clinic,"Clifton Hill Clinic, 22 Spensley Street, Clifton Hill VIC 3068, Australia"
216,3072-vic,St Francis Medical Centre,"St Francis Medical Centre, Holmes Street, Brunswick East VIC 3057, Australia"
217,3072-vic,Wingrove Medical Clinic,"Wingrove Medical Clinic, 270 Wingrove Street, Fairfield VIC 3078, Australia"
218,3072-vic,Polaris Medical Centre,"Polaris Medical Centre, Copernicus Crescent, Bundoora VIC 3086, Australia"
219,3073-vic,Polaris Medical Centre,"Polaris Medical Centre, Copernicus Crescent, Bundoora VIC 3086, Australia"
220,3073-vic,Edgars Ultimate Medical Clinic.CO,"Edgars Ultimate Medical Clinic.CO, 168 Edgars Road, Thomastown VIC 3074, Australia"
221,3073-vic,Doctors of Coburg North,"Doctors of Coburg North, 120 Sussex Street, Pascoe Vale VIC 3058, Australia"
222,3074-vic,Edgars Ultimate Medical Clinic.CO,"Edgars Ultimate Medical Clinic.CO, 168 Edgars Road, Thomastown VIC 3074, Australia"
223,3074-vic,Polaris Medical Centre,"Polaris Medical Centre, Copernicus Crescent, Bundoora VIC 3086, Australia"
224,3074-vic,Doctors of Coburg North,"Doctors of Coburg North, 120 Sussex Street, Pascoe Vale VIC 3058, Australia"
225,3075-vic,Edgars Ultimate Medical Clinic.CO,"Edgars Ultimate Medical Clinic.CO, 168 Edgars Road, Thomastown VIC 3074, Australia"
226,3075-vic,Polaris Medical Centre,"Polaris Medical Centre, Copernicus Crescent, Bundoora VIC 3086, Australia"
227,3075-vic,Doctors of Coburg North,"Doctors of Coburg North, 120 Sussex Street, Pascoe Vale VIC 3058, Australia"
228,3076-vic,Edgars Ultimate Medical Clinic.CO,"Edgars Ultimate Medical Clinic.CO, 168 Edgars Road, Thomastown VIC 3074, Australia"
229,3076-vic,Polaris Medical Centre,"Polaris Medical Centre, Copernicus Crescent, Bundoora VIC 3086, Australia"
230,3076-vic,Doctors of Coburg North,"Doctors of Coburg North, 120 Sussex Street, Pascoe Vale VIC 3058, Australia"
234,3078-vic,Wingrove Medical Clinic,"Wingrove Medical Clinic, 270 Wingrove Street, Fairfield VIC 3078, Australia"
235,3078-vic,Clifton Hill Clinic,"Clifton Hill Clinic, 22 Spensley Street, Clifton Hill VIC 3068, Australia"
236,3078-vic,Dentists of Hawthorn,"Dentists of Hawthorn, 330 Burwood Road, Hawthorn VIC 3122, Australia"
237,3079-vic,Wingrove Medical Clinic,"Wingrove Medical Clinic, 270 Wingrove Street, Fairfield VIC 3078, Australia"
238,3079-vic,Clifton Hill Clinic,"Clifton Hill Clinic, 22 Spensley Street, Clifton Hill VIC 3068, Australia"
239,3079-vic,Dentists of Hawthorn,"Dentists of Hawthorn, 330 Burwood Road, Hawthorn VIC 3122, Australia"
243,3081-vic,Polaris Medical Centre,"Polaris Medical Centre, Copernicus Crescent, Bundoora VIC 3086, Australia"
244,3081-vic,Wingrove Medical Clinic,"Wingrove Medical Clinic, 270 Wingrove Street, Fairfield VIC 3078, Australia"
245,3081-vic,Clifton Hill Clinic,"Clifton Hill Clinic, 22 Spensley Street, Clifton Hill VIC 3068, Australia"
246,3082-vic,Polaris Medical Centre,"Polaris Medical Centre, Copernicus Crescent, Bundoora VIC 3086, Australia"
247,3082-vic,Edgars Ultimate Medical Clinic.CO,"Edgars Ultimate Medical Clinic.CO, 168 Edgars Road, Thomastown VIC 3074, Australia"
248,3082-vic,Doctors of Coburg North,"Doctors of Coburg North, 120 Sussex Street, Pascoe Vale VIC 3058, Australia"
